cz_name,stateabbrv,name,mobility,population,density,male,white,black,amind,asian,highschool,college,dropout,manufacturing,income,gini,rentpct,poverty
Los Angeles,CA,"San Bernardino County, California",-.43900037,2094769,104.4411,.49745485,.62154061,.085492484,.0085193161,.066782542,.59597933,.18965356,.039752971,.098556951,38809,.4429,35.700001,.27139094
San Diego,CA,"San Diego County, California",.18312427,3223096,766.1944,.50229502,.7085169,.050658125,.0065890062,.11450233,.50323761,.3572138,.025292667,.093519047,46708,.46509999,33.599998,.18424831
San Francisco,CA,"San Francisco County, California",.1421098,840763,17937.119,.50895315,.48727286,.055693459,.0033945357,.3382951,.33199349,.53830868,.025216952,.055293672,59044,.52020001,27.5,.1265848
Sacramento,CA,"San Joaquin County, California",-.12711118,708554,509.26691,.49735093,.57002151,.070937432,.0065654842,.14785464,.59635484,.18365993,.044656556,.097989015,38693,.4492,34.5,.25237757
Santa Barbara,CA,"San Luis Obispo County, California",.25451681,276517,83.829437,.50974441,.85006708,.020548465,.0072509106,.036623426,.56753856,.32988736,.0095824776,.067673624,44080,.4567,34.299999,.15053399
San Francisco,CA,"San Mateo County, California",.26533702,748731,1669.7531,.4920539,.54976356,.025962595,.0028434778,.26558137,.42705211,.45622674,.019420199,.078456149,67999,.4883,30.6,.10194717
Santa Barbara,CA,"Santa Barbara County, California",.099183246,435850,159.35519,.50128025,.74283814,.020022944,.0094573824,.051630147,.47440276,.32171094,.034939758,.073682815,46473,.48069999,33.700001,.21230073
San Jose,CA,"Santa Clara County, California",.11997165,1868149,1448.0649,.5026387,.48304713,.025859822,.0047967266,.33760905,.39031979,.47943804,.026746389,.18543412,69951,.46619999,29.200001,.10865602
San Jose,CA,"Santa Cruz County, California",.17404947,269278,604.88751,.49656489,.80545384,.0094140628,.005837833,.044032563,.47358859,.38244528,.016138121,.090503424,48848,.4709,36.299999,.17112128
Redding,CA,"Shasta County, California",.14467847,178942,47.396801,.4909468,.86760515,.0099920649,.026008427,.026461087,.69661403,.19609955,.044092897,.054778304,32408,.4506,35.299999,.23468609
San Francisco,CA,"Solano County, California",.091668442,425753,518.09589,.4976618,.53814298,.13907595,.0057850443,.15060376,.62550962,.24930207,.031383738,.090567373,48538,.42359999,33.599998,.19036102
Santa Rosa,CA,"Sonoma County, California",.1849377,495078,314.16589,.49046209,.77257323,.015615721,.011606252,.03890498,.54253101,.328924,.033594713,.098253049,46658,.45649999,33.400002,.14645013
Modesto,CA,"Stanislaus County, California",.19359799,527367,352.7948,.49499685,.75294816,.027182208,.0079318574,.054155834,.60757518,.16479175,.034058627,.12008943,36406,.4483,34.5,.28174782
Chico,CA,"Sutter County, California",.46141481,95247,158.1098,.49711803,.69564396,.021512488,.010845486,.14744821,.60828453,.17649478,.014439738,.067004263,37780,.4542,32.900002,.24348316
Redding,CA,"Tehama County, California",-.0077205901,63152,21.409571,.49862236,.86443818,.0050829742,.029231062,.012810363,.67913938,.14413002,.0082216812,.078652658,29779,.43669999,32.299999,.27600536
Fresno,CA,"Tulare County, California",-.21997803,454033,94.115417,.50090194,.8086791,.017280683,.013410919,.033977706,.54567683,.13821064,.05044299,.079821996,30527,.4632,33.299999,.37874302
